ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00295,PF01667:PF14303:PF13422,92,75,37,55,38,937,0.49,0.91,0.4,0.4,0.4,12,12,80,0,975,1.0,0.93,0.13,0.13,0.35
PF00296,PF05129:PF04720:PF08559,57,38,14,43,24,986,0.37,0.94,0.25,0.25,0.27,8,7,50,1,1009,0.88,0.95,0.12,0.12,0.32
PF00297,PF04893:PF00861:PF10484,47,75,22,25,53,967,0.29,0.93,0.47,0.47,0.33,21,14,33,7,1013,0.67,0.96,0.3,0.3,0.43
PF00298,PF06699:PF04081:PF14943,43,50,16,27,34,990,0.32,0.94,0.37,0.37,0.32,5,5,38,0,1024,1.0,0.96,0.12,0.12,0.33
PF00299,PF19097:PF12811:PF02425,2,1,0,2,1,1064,0.0,1.0,0.0,0.0,-0.0,0,0,2,0,1065,0,1.0,0.0,0.0,0
PF00300,PF01710:PF14521:PF03229,163,15,12,151,3,901,0.8,0.86,0.07,0.07,0.21,2,2,161,0,904,1.0,0.85,0.01,0.01,0.1
PF00301,PF09835:PF19117:PF14986,12,8,1,11,7,1048,0.12,0.98,0.08,0.08,0.09,0,0,12,0,1055,0,0.99,0.0,0.0,0
PF00302,PF04202:PF18495:PF04204,1,0,0,1,0,1066,0,1.0,0.0,0.0,0,0,0,1,0,1066,0,1.0,0.0,0.0,0
PF00303,PF08189:PF11415:PF00451,28,1,0,28,1,1038,0.0,0.97,0.0,0.0,-0.01,0,0,28,0,1039,0,0.97,0.0,0.0,0
PF00305,PF00151:PF07399:PF06187,49,76,31,18,45,973,0.41,0.94,0.63,0.63,0.48,2,2,47,0,1018,1.0,0.96,0.04,0.04,0.2
PF00306,PF10962:PF18269:PF07937,29,10,2,27,8,1030,0.2,0.97,0.07,0.07,0.1,1,1,28,0,1038,1.0,0.97,0.03,0.03,0.18
PF00307,PF02187:PF15410:PF14537,118,55,38,80,17,932,0.69,0.91,0.32,0.32,0.43,11,10,108,1,948,0.91,0.9,0.08,0.08,0.26
PF00308,PF11638:PF19937:PF02425,14,8,6,8,2,1051,0.75,0.99,0.43,0.43,0.56,3,3,11,0,1053,1.0,0.99,0.21,0.21,0.46
PF00309,PF05295:PF12200:PF12245,8,16,1,7,15,1044,0.06,0.98,0.12,0.12,0.08,3,0,8,3,1056,0.0,0.99,0.0,0.0,-0.0
PF00310,PF11415:PF00451:PF08189,26,1,0,26,1,1040,0.0,0.97,0.0,0.0,-0.0,0,0,26,0,1041,0,0.98,0.0,0.0,0
PF00311,PF07896:PF12294:PF14087,28,38,10,18,28,1011,0.26,0.96,0.36,0.36,0.28,13,6,22,7,1032,0.46,0.97,0.21,0.21,0.3
PF00312,PF03556:PF08234:PF01277,58,50,17,41,33,976,0.34,0.93,0.29,0.29,0.28,12,10,48,2,1007,0.83,0.95,0.17,0.17,0.37
PF00313,PF00860:PF07017:PF13961,92,91,42,50,49,926,0.46,0.91,0.46,0.46,0.41,26,21,71,5,970,0.81,0.93,0.23,0.23,0.41
PF00314,PF12023:PF06624:PF05013,63,33,16,47,17,987,0.48,0.94,0.25,0.25,0.32,7,6,57,1,1003,0.86,0.95,0.1,0.1,0.28
PF00316,PF14528:PF01364:PF02534,45,27,7,38,20,1002,0.26,0.95,0.16,0.16,0.17,2,2,43,0,1022,1.0,0.96,0.04,0.04,0.21
PF00317,PF08471:PF08343:PF06187,34,5,4,30,1,1032,0.8,0.97,0.12,0.12,0.3,1,1,33,0,1033,1.0,0.97,0.03,0.03,0.17
PF00318,PF16122:PF04773:PF17770,50,42,22,28,20,997,0.52,0.96,0.44,0.44,0.46,6,5,45,1,1016,0.83,0.96,0.1,0.1,0.28
PF00319,PF12688:PF13961:PF04899,63,65,29,34,36,968,0.45,0.93,0.46,0.46,0.42,4,4,59,0,1004,1.0,0.94,0.06,0.06,0.24
PF00320,PF13676:PF15880:PF08016,93,116,43,50,73,901,0.37,0.88,0.46,0.46,0.35,30,21,72,9,965,0.7,0.92,0.23,0.23,0.37
PF00321,PF03980:PF19117:PF09835,0,18,0,0,18,1049,0.0,0.98,0,0,0,2,0,0,2,1065,0.0,1.0,0,0,0
PF00322,PF05830:PF02234:PF03839,3,32,0,3,32,1032,0.0,0.97,0.0,0.0,-0.01,5,0,3,5,1059,0.0,0.99,0.0,0.0,-0.0
PF00323,PF14087:PF07896:PF04378,0,37,0,0,37,1030,0.0,0.97,0,0,0,14,0,0,14,1053,0.0,0.99,0,0,0
PF00324,PF03522:PF08403:PF11057,117,49,45,72,4,946,0.92,0.93,0.38,0.38,0.57,7,6,111,1,949,0.86,0.9,0.05,0.05,0.19
PF00325,PF08642:PF17175:PF04163,1,25,1,0,24,1042,0.04,0.98,1.0,1.0,0.2,4,1,0,3,1063,0.25,1.0,1.0,1.0,0.5
PF00326,PF07896:PF00885:PF06331,117,51,27,90,24,926,0.53,0.89,0.23,0.23,0.3,11,11,106,0,950,1.0,0.9,0.09,0.09,0.29
PF00327,PF06775:PF04900:PF02348,40,61,16,24,45,982,0.26,0.94,0.4,0.4,0.29,16,13,27,3,1024,0.81,0.97,0.33,0.33,0.5
PF00328,PF10441:PF03911:PF04229,94,42,19,75,23,950,0.45,0.91,0.2,0.2,0.26,8,7,87,1,972,0.88,0.92,0.07,0.07,0.24
PF00329,PF06093:PF08315:PF12527,24,36,9,15,27,1016,0.25,0.96,0.38,0.38,0.29,4,2,22,2,1041,0.5,0.98,0.08,0.08,0.2
PF00330,PF04098:PF01693:PF13145,84,78,31,53,47,936,0.4,0.91,0.37,0.37,0.33,16,14,70,2,981,0.88,0.93,0.17,0.17,0.36
PF00331,PF07572:PF07039:PF03537,36,41,16,20,25,1006,0.39,0.96,0.44,0.44,0.39,11,8,28,3,1028,0.73,0.97,0.22,0.22,0.39
PF00332,PF01241:PF03198:PF14087,75,47,23,52,24,968,0.49,0.93,0.31,0.31,0.35,13,11,64,2,990,0.85,0.94,0.15,0.15,0.34
PF00333,PF14528:PF01364:PF02534,44,27,11,33,16,1007,0.41,0.95,0.25,0.25,0.3,2,2,42,0,1023,1.0,0.96,0.05,0.05,0.21
PF00334,PF05186:PF13676:PF14087,69,99,31,38,68,930,0.31,0.9,0.45,0.45,0.32,26,18,51,8,990,0.69,0.94,0.26,0.26,0.4
PF00335,PF16862:PF04826:PF13468,118,44,27,91,17,932,0.61,0.9,0.23,0.23,0.33,14,13,105,1,948,0.93,0.9,0.11,0.11,0.3
PF00336,PF03539:PF08333:PF14529,1,118,1,0,117,949,0.01,0.89,1.0,1.0,0.09,21,0,1,21,1045,0.0,0.98,0.0,0.0,-0.0
PF00337,PF13961:PF12688:PF17770,49,73,21,28,52,966,0.29,0.93,0.43,0.43,0.31,9,7,42,2,1016,0.78,0.96,0.14,0.14,0.32
PF00338,PF15341:PF00444:PF13656,65,50,22,43,28,974,0.44,0.93,0.34,0.34,0.35,15,10,55,5,997,0.67,0.94,0.15,0.15,0.3
PF00339,PF04424:PF10846:PF16013,68,43,20,48,23,976,0.47,0.93,0.29,0.29,0.34,11,8,60,3,996,0.73,0.94,0.12,0.12,0.28
PF00340,PF03604:PF14943:PF06699,7,49,4,3,45,1015,0.08,0.96,0.57,0.57,0.2,12,2,5,10,1050,0.17,0.99,0.29,0.29,0.21
PF00341,PF07572:PF07039:PF10441,17,40,4,13,36,1014,0.1,0.95,0.24,0.24,0.13,10,4,13,6,1044,0.4,0.98,0.24,0.24,0.3
PF00342,PF07572:PF07039:PF07019,49,47,18,31,29,989,0.38,0.94,0.37,0.37,0.35,13,11,38,2,1016,0.85,0.96,0.22,0.22,0.42
PF00343,PF01249:PF04135:PF04718,45,59,19,26,40,982,0.32,0.94,0.42,0.42,0.34,13,10,35,3,1019,0.77,0.96,0.22,0.22,0.4
PF00344,PF10235:PF09451:PF20071,36,40,9,27,31,1000,0.23,0.95,0.25,0.25,0.21,8,3,33,5,1026,0.38,0.96,0.08,0.08,0.16
PF00345,PF00419:PF17111:PF12688,3,43,3,0,40,1024,0.07,0.96,1.0,1.0,0.26,4,1,2,3,1061,0.25,1.0,0.33,0.33,0.29
PF00346,PF14521:PF07896:PF15880,36,37,12,24,25,1006,0.32,0.95,0.33,0.33,0.31,5,3,33,2,1029,0.6,0.97,0.08,0.08,0.22
PF00347,PF17770:PF04773:PF12127,48,26,7,41,19,1000,0.27,0.94,0.15,0.15,0.17,3,2,46,1,1018,0.67,0.96,0.04,0.04,0.16
PF00348,PF01741:PF02594:PF04478,85,33,16,69,17,965,0.48,0.92,0.19,0.19,0.27,5,5,80,0,982,1.0,0.93,0.06,0.06,0.23
PF00349,PF08189:PF11415:PF00451,55,1,0,55,1,1011,0.0,0.95,0.0,0.0,-0.01,0,0,55,0,1012,0,0.95,0.0,0.0,0
PF00350,PF02174:PF17892:PF12013,126,44,28,98,16,925,0.64,0.89,0.22,0.22,0.33,12,12,114,0,941,1.0,0.89,0.1,0.1,0.29
PF00351,PF10369:PF19304:PF08189,31,32,6,25,26,1010,0.19,0.95,0.19,0.19,0.17,6,5,26,1,1035,0.83,0.97,0.16,0.16,0.36
PF00352,PF14087:PF01241:PF12294,40,31,14,26,17,1010,0.45,0.96,0.35,0.35,0.38,6,5,35,1,1026,0.83,0.97,0.12,0.12,0.32
PF00353,PF06594:PF08548:PF17331,10,2,2,8,0,1057,1.0,0.99,0.2,0.2,0.45,1,1,9,0,1057,1.0,0.99,0.1,0.1,0.31
PF00354,PF01400:PF16977:PF04378,31,84,24,7,60,976,0.29,0.94,0.77,0.77,0.45,15,13,18,2,1034,0.87,0.98,0.42,0.42,0.6
PF00355,PF20147:PF05488:PF03394,103,29,20,83,9,955,0.69,0.91,0.19,0.19,0.34,0,0,103,0,964,0,0.9,0.0,0.0,0
PF00356,PF10846:PF04098:PF03432,23,33,6,17,27,1017,0.18,0.96,0.26,0.26,0.2,9,3,20,6,1038,0.33,0.98,0.13,0.13,0.2
PF00357,PF00882:PF14316:PF10393,4,10,0,4,10,1053,0.0,0.99,0.0,0.0,-0.01,2,0,4,2,1061,0.0,0.99,0.0,0.0,-0.0
PF00358,PF07896:PF19060:PF14087,13,37,2,11,35,1019,0.05,0.96,0.15,0.15,0.07,15,0,13,15,1039,0.0,0.97,0.0,0.0,-0.01
PF00359,PF07565:PF12200:PF17892,15,28,2,13,26,1026,0.07,0.96,0.13,0.13,0.08,2,0,15,2,1050,0.0,0.98,0.0,0.0,-0.01
PF00360,PF08446:PF13492:PF05227,19,28,18,1,10,1038,0.64,0.99,0.95,0.95,0.78,4,4,15,0,1048,1.0,0.99,0.21,0.21,0.46
PF00361,PF00420:PF07896:PF06331,51,49,27,24,22,994,0.55,0.96,0.53,0.53,0.52,11,8,43,3,1013,0.73,0.96,0.16,0.16,0.33
PF00362,PF17331:PF02425:PF02097,24,0,0,24,0,1043,0,0.98,0.0,0.0,0,0,0,24,0,1043,0,0.98,0.0,0.0,0
PF00363,PF02953:PF12554:PF03604,0,74,0,0,74,993,0.0,0.93,0,0,0,9,0,0,9,1058,0.0,0.99,0,0,0
PF00364,PF07602:PF05977:PF12126,112,19,12,100,7,948,0.63,0.9,0.11,0.11,0.23,3,3,109,0,955,1.0,0.9,0.03,0.03,0.16
PF00365,PF07896:PF19060:PF07039,61,43,14,47,29,977,0.33,0.93,0.23,0.23,0.24,10,6,55,4,1002,0.6,0.94,0.1,0.1,0.23
PF00366,PF08847:PF01249:PF05160,41,57,20,21,37,989,0.35,0.95,0.49,0.49,0.39,7,6,35,1,1025,0.86,0.97,0.15,0.15,0.35
PF00367,PF02302:PF12294:PF07382,20,20,6,14,14,1033,0.3,0.97,0.3,0.3,0.29,0,0,20,0,1047,0,0.98,0.0,0.0,0
PF00368,PF07896:PF06331:PF07572,41,44,16,25,28,998,0.36,0.95,0.39,0.39,0.35,11,10,31,1,1025,0.91,0.97,0.24,0.24,0.46
PF00370,PF04098:PF10846:PF10453,70,37,15,55,22,975,0.41,0.93,0.21,0.21,0.26,10,8,62,2,995,0.8,0.94,0.11,0.11,0.29
PF00372,PF17331:PF02425:PF18251,12,0,0,12,0,1055,0,0.99,0.0,0.0,0,0,0,12,0,1055,0,0.99,0.0,0.0,0
PF00373,PF17331:PF02425:PF08189,88,0,0,88,0,979,0,0.92,0.0,0.0,0,0,0,88,0,979,0,0.92,0.0,0.0,0
PF00374,PF00346:PF05977:PF00908,7,49,7,0,42,1018,0.14,0.96,1.0,1.0,0.37,4,0,7,4,1056,0.0,0.99,0.0,0.0,-0.0
PF00375,PF13881:PF03647:PF03604,38,55,14,24,41,988,0.25,0.94,0.37,0.37,0.28,15,6,32,9,1020,0.4,0.96,0.16,0.16,0.23
PF00376,PF18134:PF02907:PF20081,12,1,0,12,1,1054,0.0,0.99,0.0,0.0,-0.0,0,0,12,0,1055,0,0.99,0.0,0.0,0
PF00377,PF07896:PF06331:PF01655,2,66,2,0,64,1001,0.03,0.94,1.0,1.0,0.17,13,1,1,12,1053,0.08,0.99,0.5,0.5,0.19
PF00378,PF07896:PF07039:PF07572,139,46,29,110,17,911,0.63,0.88,0.21,0.21,0.32,12,12,127,0,928,1.0,0.88,0.09,0.09,0.28
PF00379,PF09431:PF13879:PF04286,55,44,17,38,27,985,0.39,0.94,0.31,0.31,0.31,7,5,50,2,1010,0.71,0.95,0.09,0.09,0.24
PF00380,PF07039:PF08648:PF07572,44,39,16,28,23,1000,0.41,0.95,0.36,0.36,0.36,15,12,32,3,1020,0.8,0.97,0.27,0.27,0.46
PF00381,PF00603:PF15495:PF16963,6,1,0,6,1,1060,0.0,0.99,0.0,0.0,-0.0,0,0,6,0,1061,0,0.99,0.0,0.0,0
PF00382,PF07741:PF08271:PF17331,46,42,31,15,11,1010,0.74,0.98,0.67,0.67,0.69,9,9,37,0,1021,1.0,0.97,0.2,0.2,0.43
PF00383,PF12023:PF06624:PF06417,110,46,27,83,19,938,0.59,0.9,0.25,0.25,0.34,11,9,101,2,955,0.82,0.9,0.08,0.08,0.24
PF00384,PF11390:PF04384:PF06896,45,3,3,42,0,1022,1.0,0.96,0.07,0.07,0.25,0,0,45,0,1022,0,0.96,0.0,0.0,0
